epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8137,4.80488,4.1258,4.04482,0.00034,0.01854,0.00018,4e-05,5.71628,4.59537,4.34514,0.000653333,0.000653333,0.000653333
2,46.9242,3.49628,2.53654,3.05276,0.00218,0.11843,0.00227,0.00088,4.4013,3.74177,3.58081,0.00129386,0.00129386,0.00129386
3,60.2256,3.08246,2.13873,2.64293,0.30048,0.207,0.15794,0.04867,2.78389,2.1266,2.62183,0.00190799,0.00190799,0.00190799
4,74.5641,2.82954,1.99248,2.45275,0.33841,0.22142,0.18364,0.05398,2.74315,2.15694,2.76703,0.0018812,0.0018812,0.0018812
5,88.3382,2.53577,1.75093,2.2428,0.30441,0.30278,0.18981,0.06455,2.49843,2.54677,2.28144,0.0018416,0.0018416,0.0018416
6,102.112,2.26199,1.55391,2.07431,0.49682,0.41504,0.38239,0.14513,2.32767,1.90211,2.19165,0.001802,0.001802,0.001802
7,115.583,2.15968,1.44852,1.97757,0.54877,0.50875,0.47984,0.17673,2.23786,1.52771,2.07221,0.0017624,0.0017624,0.0017624
8,133.823,2.03054,1.343,1.88434,0.54496,0.5448,0.4924,0.19031,2.14753,1.50069,1.99315,0.0017228,0.0017228,0.0017228
9,147.773,1.94453,1.29993,1.80973,0.70969,0.61998,0.66057,0.30698,1.91081,1.20497,1.80143,0.0016832,0.0016832,0.0016832
10,161.84,1.90977,1.2463,1.75987,0.66714,0.64608,0.66425,0.33361,1.75225,1.2143,1.71684,0.0016436,0.0016436,0.0016436
11,176.246,1.86686,1.22861,1.71351,0.67035,0.66598,0.68811,0.30122,1.94093,1.31955,1.85338,0.001604,0.001604,0.001604
12,190.433,1.81926,1.20671,1.68068,0.64653,0.62307,0.65497,0.31779,1.81784,1.28424,1.69186,0.0015644,0.0015644,0.0015644
13,205.104,1.78771,1.18492,1.6367,0.7076,0.71576,0.73654,0.36105,1.71203,1.13513,1.64962,0.0015248,0.0015248,0.0015248
14,221.424,1.77053,1.14518,1.60962,0.67958,0.66529,0.71502,0.36484,1.69561,1.09825,1.61888,0.0014852,0.0014852,0.0014852
15,236.965,1.73106,1.10581,1.57993,0.73695,0.71473,0.75522,0.36918,1.75723,1.10631,1.67403,0.0014456,0.0014456,0.0014456
16,251.469,1.6945,1.11279,1.56662,0.74605,0.68681,0.76268,0.39764,1.62322,1.07096,1.55564,0.001406,0.001406,0.001406
17,265.784,1.663,1.07737,1.534,0.77361,0.70386,0.76674,0.41788,1.551,1.04439,1.51588,0.0013664,0.0013664,0.0013664
18,281.163,1.61294,1.0467,1.51595,0.72112,0.75386,0.77648,0.41605,1.53216,1.07223,1.47771,0.0013268,0.0013268,0.0013268
19,298.151,1.55816,1.05175,1.47333,0.77413,0.75283,0.80804,0.44875,1.49296,0.99469,1.4586,0.0012872,0.0012872,0.0012872
20,312.812,1.58807,1.00718,1.46229,0.7806,0.74381,0.80455,0.45249,1.48612,0.93661,1.44444,0.0012476,0.0012476,0.0012476
21,327.273,1.58163,1.02975,1.46588,0.74813,0.77034,0.80662,0.45627,1.48052,0.92669,1.43328,0.001208,0.001208,0.001208
22,341.763,1.53175,0.99259,1.43435,0.76629,0.76931,0.80972,0.45182,1.46327,0.9775,1.39061,0.0011684,0.0011684,0.0011684
23,356.335,1.49696,0.96749,1.40972,0.76704,0.78331,0.82557,0.47698,1.40263,0.94086,1.38248,0.0011288,0.0011288,0.0011288
24,371.141,1.49405,0.96877,1.39353,0.7923,0.78167,0.83877,0.48117,1.40975,0.9044,1.38393,0.0010892,0.0010892,0.0010892
25,385.993,1.49235,0.95297,1.40189,0.77676,0.80269,0.82691,0.47122,1.40521,0.89845,1.37071,0.0010496,0.0010496,0.0010496
26,400.705,1.48782,0.94547,1.39698,0.80986,0.78373,0.84219,0.48251,1.39688,0.90377,1.3715,0.00101,0.00101,0.00101
27,415.688,1.438,0.92351,1.36748,0.77177,0.77755,0.82084,0.46067,1.48936,0.94812,1.39509,0.0009704,0.0009704,0.0009704
28,430.577,1.44301,0.92926,1.35467,0.78033,0.77137,0.82327,0.4805,1.40434,0.91615,1.35859,0.0009308,0.0009308,0.0009308
29,445.149,1.43197,0.90702,1.35747,0.83446,0.78991,0.85637,0.51151,1.31863,0.87227,1.32328,0.0008912,0.0008912,0.0008912
30,460.574,1.44973,0.9159,1.36739,0.794,0.8177,0.85682,0.51285,1.31851,0.86101,1.30236,0.0008516,0.0008516,0.0008516
31,475.337,1.41715,0.91794,1.35471,0.82023,0.81462,0.85928,0.52254,1.32818,0.81497,1.31309,0.000812,0.000812,0.000812
32,490.801,1.3978,0.90087,1.32611,0.80995,0.80536,0.86529,0.53737,1.27534,0.81376,1.26591,0.0007724,0.0007724,0.0007724
33,505.912,1.38089,0.86112,1.30122,0.83662,0.81742,0.87581,0.54502,1.27372,0.7801,1.24827,0.0007328,0.0007328,0.0007328
34,521.085,1.37541,0.87702,1.32972,0.79805,0.81801,0.84864,0.52202,1.28391,0.81404,1.2809,0.0006932,0.0006932,0.0006932
35,536.134,1.37037,0.85489,1.31419,0.82667,0.80227,0.87052,0.5182,1.32899,0.83588,1.28638,0.0006536,0.0006536,0.0006536
36,551.032,1.35065,0.86179,1.29899,0.82343,0.79506,0.86045,0.53624,1.27116,0.80423,1.25653,0.000614,0.000614,0.000614
37,565.864,1.37372,0.85662,1.29864,0.838,0.80536,0.87139,0.54114,1.27057,0.81256,1.25633,0.0005744,0.0005744,0.0005744
38,580.748,1.34553,0.8358,1.30805,0.83535,0.81153,0.87193,0.53978,1.27307,0.81358,1.25051,0.0005348,0.0005348,0.0005348
39,597.711,1.35885,0.85871,1.29116,0.84489,0.80536,0.87218,0.55675,1.21582,0.78736,1.22101,0.0004952,0.0004952,0.0004952
40,612.638,1.36105,0.85323,1.2799,0.86114,0.80021,0.88298,0.55506,1.21555,0.79263,1.22416,0.0004556,0.0004556,0.0004556
41,662.995,1.28429,0.85813,1.27268,0.83622,0.8033,0.8677,0.5446,1.24461,0.77475,1.20579,0.000416,0.000416,0.000416
42,677.928,1.30611,0.82482,1.26475,0.84461,0.83625,0.88097,0.55183,1.24822,0.78178,1.21533,0.0003764,0.0003764,0.0003764
43,691.381,1.28372,0.80875,1.2661,0.84138,0.8413,0.89429,0.55506,1.22337,0.78238,1.21149,0.0003368,0.0003368,0.0003368
44,705.63,1.27647,0.80907,1.25208,0.83097,0.8414,0.89773,0.56302,1.2021,0.76779,1.19921,0.0002972,0.0002972,0.0002972
45,719.933,1.25639,0.79385,1.25119,0.84666,0.83316,0.89997,0.5773,1.1681,0.74823,1.17519,0.0002576,0.0002576,0.0002576
46,734.406,1.24215,0.77687,1.22902,0.85417,0.83728,0.90463,0.5776,1.18175,0.73882,1.17722,0.000218,0.000218,0.000218
47,749.343,1.23646,0.78456,1.23632,0.86057,0.84346,0.89848,0.5752,1.17697,0.73708,1.16955,0.0001784,0.0001784,0.0001784
48,763.954,1.22816,0.7641,1.22391,0.87446,0.8311,0.90847,0.5853,1.15717,0.72901,1.16932,0.0001388,0.0001388,0.0001388
49,778.634,1.19387,0.7594,1.2099,0.87309,0.84312,0.9114,0.58826,1.14431,0.71767,1.1614,9.92e-05,9.92e-05,9.92e-05
50,793.675,1.18082,0.74153,1.1936,0.88086,0.84758,0.91508,0.59522,1.13659,0.71042,1.15877,5.96e-05,5.96e-05,5.96e-05
