epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.741,4.23512,4.33168,3.96115,0.00094,0.11074,0.00067,0.00012,5.65654,4.00863,4.27553,0.000653333,0.000653333,0.000653333
2,69.3707,3.02172,2.72217,2.92671,0.00037,0.04027,0.00022,4e-05,5.63192,5.12975,4.40498,0.00127644,0.00127644,0.00127644
3,92.3808,2.61302,2.17808,2.51228,0.23468,0.2651,0.15804,0.04416,2.6749,2.50598,2.38033,0.00185555,0.00185555,0.00185555
4,115.608,2.41422,1.99661,2.35366,0.30107,0.30537,0.1957,0.06857,2.36442,3.61553,2.32693,0.001802,0.001802,0.001802
5,139.179,2.22063,1.78113,2.18477,0.34957,0.33185,0.26598,0.08985,2.15526,2.19419,2.21976,0.001736,0.001736,0.001736
6,163.092,2.06296,1.6125,2.06879,0.5097,0.42211,0.44585,0.18866,2.03412,1.55572,1.92437,0.00167,0.00167,0.00167
7,186.775,1.97828,1.51829,1.96524,0.54885,0.51007,0.49992,0.21796,1.93396,1.60304,1.94977,0.001604,0.001604,0.001604
8,215.642,1.91059,1.43596,1.89816,0.54554,0.62437,0.61492,0.29877,1.78706,1.60209,1.76471,0.001538,0.001538,0.001538
9,240.239,1.79741,1.35555,1.80997,0.63833,0.67114,0.6923,0.3374,1.72446,1.29805,1.69736,0.001472,0.001472,0.001472
10,264.517,1.76681,1.30005,1.77799,0.72696,0.69688,0.75939,0.38811,1.68822,1.2588,1.65287,0.001406,0.001406,0.001406
11,289.081,1.71104,1.24518,1.71786,0.6929,0.67114,0.6808,0.33798,1.7716,1.37535,1.78327,0.00134,0.00134,0.00134
12,312.842,1.69221,1.24179,1.70516,0.685,0.71515,0.73346,0.37813,1.624,1.289,1.656,0.001274,0.001274,0.001274
13,338.094,1.64701,1.20141,1.66237,0.69888,0.70805,0.75092,0.39548,1.66205,1.16178,1.67629,0.001208,0.001208,0.001208
14,368.878,1.63892,1.1672,1.64536,0.74548,0.72148,0.77929,0.43474,1.49223,1.14221,1.58645,0.001142,0.001142,0.001142
15,394.086,1.60348,1.14292,1.6227,0.81879,0.78859,0.84629,0.46723,1.51567,1.08808,1.55684,0.001076,0.001076,0.001076
16,419.022,1.54904,1.1161,1.58896,0.74631,0.79963,0.84827,0.47056,1.51496,1.06127,1.55709,0.00101,0.00101,0.00101
17,444.046,1.53228,1.09651,1.57428,0.79748,0.79866,0.86228,0.47874,1.50501,1.02591,1.55866,0.000944,0.000944,0.000944
18,468.613,1.51108,1.04615,1.56042,0.80227,0.83221,0.86601,0.4911,1.44286,0.96492,1.4942,0.000878,0.000878,0.000878
19,498.778,1.46476,1.04004,1.52541,0.78518,0.84629,0.89132,0.517,1.39564,0.9597,1.48007,0.000812,0.000812,0.000812
20,523.932,1.47248,1.01043,1.49065,0.82044,0.82886,0.87906,0.51242,1.3721,0.93973,1.46928,0.000746,0.000746,0.000746
21,631.26,1.47815,1.04756,1.52414,0.82487,0.83772,0.88961,0.51044,1.39466,0.9606,1.48618,0.00068,0.00068,0.00068
22,654.983,1.4323,0.99027,1.47364,0.81837,0.86242,0.89525,0.54035,1.33134,0.92949,1.42424,0.000614,0.000614,0.000614
23,679.639,1.38577,0.95975,1.45421,0.83496,0.87919,0.91294,0.55021,1.35924,0.87115,1.44338,0.000548,0.000548,0.000548
24,704.619,1.39872,0.95074,1.44649,0.85237,0.85251,0.91594,0.56497,1.3307,0.87641,1.42238,0.000482,0.000482,0.000482
25,729.401,1.36373,0.92659,1.42609,0.86027,0.82641,0.91444,0.55607,1.32355,0.9055,1.39926,0.000416,0.000416,0.000416
26,754.256,1.3423,0.91347,1.4005,0.83916,0.85789,0.91543,0.562,1.3093,0.85199,1.39952,0.00035,0.00035,0.00035
27,778.939,1.3247,0.88555,1.39059,0.86061,0.89091,0.92544,0.60255,1.22745,0.8076,1.34997,0.000284,0.000284,0.000284
28,804.08,1.30501,0.85803,1.38669,0.87757,0.83893,0.93072,0.60007,1.2155,0.79781,1.33274,0.000218,0.000218,0.000218
29,828.959,1.29834,0.84949,1.37267,0.87201,0.86913,0.92542,0.5984,1.22199,0.79116,1.33563,0.000152,0.000152,0.000152
30,854.124,1.26607,0.83477,1.34948,0.85292,0.88926,0.93279,0.61981,1.1775,0.77266,1.31316,8.6e-05,8.6e-05,8.6e-05
