epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3845,1.8169,2.55036,1.37261,0.02694,0.70134,0.26588,0.12303,1.46713,2.80216,1.1273,0.000653333,0.000653333,0.000653333
2,44.8467,1.53645,1.50389,1.18102,0.66796,0.46344,0.53284,0.29454,1.51476,1.82759,1.22214,0.00127644,0.00127644,0.00127644
3,54.117,1.50441,1.33813,1.15496,0.75794,0.68383,0.74839,0.40684,1.43118,1.69651,1.18577,0.00185555,0.00185555,0.00185555
4,64.1,1.4653,1.27886,1.16262,0.71208,0.70297,0.75169,0.41611,1.3854,1.35328,1.14771,0.001802,0.001802,0.001802
5,73.7522,1.43942,1.23403,1.14045,0.71999,0.72297,0.76945,0.44496,1.34186,1.32393,1.12553,0.001736,0.001736,0.001736
6,84.8938,1.39504,1.15104,1.13234,0.77362,0.7518,0.81031,0.45265,1.4172,1.27051,1.17375,0.00167,0.00167,0.00167
7,95.0421,1.40636,1.10719,1.12103,0.78183,0.79712,0.81273,0.47846,1.27113,1.20805,1.08412,0.001604,0.001604,0.001604
8,104.547,1.35264,1.04389,1.09271,0.80105,0.77446,0.84951,0.51393,1.28201,0.97779,1.05903,0.001538,0.001538,0.001538
9,113.749,1.36394,1.04548,1.09988,0.81465,0.76931,0.82001,0.46496,1.36263,1.02549,1.11385,0.001472,0.001472,0.001472
10,123.15,1.31258,1.01541,1.0836,0.77525,0.81771,0.85561,0.52863,1.27243,0.92906,1.07648,0.001406,0.001406,0.001406
11,132.557,1.28544,0.98369,1.06106,0.79939,0.793,0.85797,0.52439,1.22337,0.94233,1.03297,0.00134,0.00134,0.00134
12,141.95,1.28435,0.94447,1.07143,0.80706,0.84655,0.8706,0.51382,1.20406,0.95217,1.04051,0.001274,0.001274,0.001274
13,151.386,1.26711,0.9371,1.05771,0.82522,0.86509,0.89979,0.56758,1.17923,0.85442,1.01686,0.001208,0.001208,0.001208
14,160.666,1.25829,0.92457,1.05928,0.83676,0.84346,0.88491,0.55809,1.1808,0.89944,1.02128,0.001142,0.001142,0.001142
15,170.51,1.2526,0.91431,1.05557,0.8347,0.84769,0.89705,0.57169,1.16182,0.8219,1.01588,0.001076,0.001076,0.001076
16,179.996,1.21933,0.88841,1.04942,0.86034,0.83831,0.90985,0.60021,1.12746,0.78483,0.99318,0.00101,0.00101,0.00101
17,189.723,1.21288,0.85671,1.04293,0.84961,0.84964,0.90878,0.60724,1.1182,0.78738,0.99769,0.000944,0.000944,0.000944
18,199.478,1.19706,0.82819,1.03442,0.87487,0.84249,0.91121,0.59794,1.10324,0.76205,0.99284,0.000878,0.000878,0.000878
19,209.2,1.15812,0.82645,1.02237,0.85223,0.8826,0.92742,0.62725,1.06553,0.72495,0.97737,0.000812,0.000812,0.000812
20,218.663,1.16364,0.80925,1.00866,0.87157,0.86303,0.92521,0.61495,1.12439,0.72243,0.97613,0.000746,0.000746,0.000746
21,265.912,1.14852,0.83667,1.02841,0.88137,0.84932,0.92792,0.60452,1.11208,0.72819,0.99597,0.00068,0.00068,0.00068
22,275.493,1.13915,0.7757,1.01843,0.87852,0.88632,0.93149,0.6129,1.08112,0.73368,0.97751,0.000614,0.000614,0.000614
23,284.49,1.10549,0.76836,1.00889,0.87756,0.88054,0.94059,0.63915,1.04736,0.69287,0.96769,0.000548,0.000548,0.000548
24,293.655,1.11897,0.75847,0.99524,0.86613,0.86715,0.93077,0.64521,1.03545,0.69286,0.95653,0.000482,0.000482,0.000482
25,302.795,1.09203,0.74052,0.9955,0.89301,0.90256,0.94333,0.6465,1.03932,0.68209,0.95543,0.000416,0.000416,0.000416
26,312.032,1.08852,0.71357,0.98691,0.89033,0.90731,0.94898,0.65731,1.04228,0.66865,0.95555,0.00035,0.00035,0.00035
27,321.56,1.06931,0.70161,0.98441,0.89461,0.91788,0.95329,0.66557,1.00229,0.6481,0.94273,0.000284,0.000284,0.000284
28,330.831,1.04348,0.68567,0.98159,0.89658,0.90834,0.95388,0.67962,0.99094,0.62703,0.93474,0.000218,0.000218,0.000218
29,340.591,1.0344,0.66668,0.97069,0.89712,0.91605,0.95393,0.68237,0.98797,0.62083,0.93462,0.000152,0.000152,0.000152
30,349.931,1.01781,0.66548,0.96635,0.89153,0.92268,0.9554,0.69026,0.96513,0.61008,0.93008,8.6e-05,8.6e-05,8.6e-05
