epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.012,3.83336,3.57428,3.35529,0.1613,0.16107,0.10379,0.02765,3.07831,2.3178,2.93163,0.000653333,0.000653333,0.000653333
2,157.931,2.59787,2.27148,2.5939,0.21192,0.33893,0.17168,0.0567,2.48854,2.08972,2.49217,0.00118932,0.00118932,0.00118932
3,178.675,2.35733,2.01097,2.33936,0.17094,0.29195,0.11949,0.04328,2.33208,2.93505,2.31044,0.00159331,0.00159331,0.00159331
4,199.521,2.28928,1.8917,2.22359,0.4601,0.36913,0.39408,0.14976,2.31936,1.89674,2.23004,0.001406,0.001406,0.001406
5,220.517,2.1721,1.74359,2.13583,0.45377,0.58389,0.47166,0.20451,2.04254,1.6156,2.08533,0.001208,0.001208,0.001208
6,241.844,2.07261,1.6186,2.06916,0.50905,0.4732,0.496,0.19882,2.12136,1.78886,2.10417,0.00101,0.00101,0.00101
7,264.605,1.9705,1.49289,1.98401,0.66106,0.62752,0.6671,0.31052,1.91973,1.42135,1.97521,0.000812,0.000812,0.000812
8,286.187,1.90604,1.42832,1.94738,0.73759,0.66026,0.76337,0.37044,1.7764,1.21439,1.84476,0.000614,0.000614,0.000614
9,308.271,1.83926,1.33948,1.89579,0.79135,0.73826,0.82328,0.41461,1.75309,1.18453,1.81513,0.000416,0.000416,0.000416
10,330.017,1.81103,1.29295,1.8389,0.75244,0.7651,0.81434,0.39742,1.77374,1.17962,1.81791,0.000218,0.000218,0.000218
