epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.0618,1.34125,5.49372,1.16659,0.05747,0.83271,0.05701,0.03843,1.10682,15.4851,0.9878,0.000652482,0.000652482,0.000652482
2,113.07,1.04188,0.66424,0.9744,0.94929,0.9454,0.98371,0.66592,1.1251,0.82004,1.03678,0.00118855,0.00118855,0.00118855
3,143.421,1.04061,0.59666,0.97018,0.96411,0.9798,0.98572,0.67308,1.15162,1.08284,1.01736,0.00159262,0.00159262,0.00159262
4,168.921,1.01338,0.55548,0.96772,0.98115,0.97475,0.9886,0.71353,1.02791,0.7273,0.96347,0.001406,0.001406,0.001406
5,194.844,0.9855,0.50777,0.95581,0.9841,0.9899,0.99099,0.70243,1.11927,0.51306,0.98379,0.001208,0.001208,0.001208
6,219.863,0.961,0.46534,0.9444,0.97379,0.9798,0.9931,0.7146,1.06652,0.53773,0.98031,0.00101,0.00101,0.00101
7,242.613,0.94937,0.46505,0.93869,0.99489,0.98423,0.99435,0.7343,1.03122,0.44504,0.95155,0.000812,0.000812,0.000812
8,265.694,0.91026,0.4255,0.93026,1,0.98422,0.99421,0.7352,0.9909,0.43439,0.94128,0.000614,0.000614,0.000614
9,288.62,0.90058,0.41528,0.93325,0.98499,0.99419,0.9948,0.72971,1.00457,0.40151,0.95021,0.000416,0.000416,0.000416
10,311.441,0.8566,0.39447,0.91893,0.98472,0.99495,0.9947,0.74355,0.99094,0.38924,0.94066,0.000218,0.000218,0.000218
