epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3062,5.4396,10.8316,3.69279,0,0,0,0,6.67072,6.07118,4.20161,0.000652482,0.000652482,0.000652482
2,65.3871,2.80761,3.68327,2.02003,0,0,0,0,6.59071,4.92336,4.10124,0.00127562,0.00127562,0.00127562
3,92.4996,2.14406,2.04621,1.52273,0.57368,0.58586,0.5418,0.21933,1.89771,1.9065,1.54908,0.00185475,0.00185475,0.00185475
4,117.447,1.70499,1.49887,1.30059,0.90584,0.87456,0.94267,0.49776,1.57047,1.49652,1.27598,0.001802,0.001802,0.001802
5,143.173,1.48715,1.18159,1.17214,0.95227,0.96465,0.98199,0.57978,1.34222,0.93595,1.13983,0.001736,0.001736,0.001736
6,167.17,1.37028,1.01587,1.10452,0.99538,0.92929,0.98334,0.63234,1.26759,0.82434,1.08082,0.00167,0.00167,0.00167
7,194.729,1.29667,0.91698,1.07278,0.97419,0.97475,0.98639,0.64498,1.19439,0.80994,1.05188,0.001604,0.001604,0.001604
8,220.761,1.2628,0.85178,1.04885,0.98417,0.94226,0.97928,0.60735,1.36308,0.75965,1.12628,0.001538,0.001538,0.001538
9,243.508,1.24131,0.78909,1.03105,0.99491,0.9867,0.99438,0.6765,1.1221,0.59619,1.01381,0.001472,0.001472,0.001472
10,266.895,1.18914,0.72754,1.0205,0.98975,0.97555,0.99426,0.6739,1.12339,0.55448,1.00796,0.001406,0.001406,0.001406
11,290.478,1.16882,0.69192,0.99978,0.99849,0.97475,0.99423,0.68811,1.0947,0.54515,1.00178,0.00134,0.00134,0.00134
12,314.155,1.12944,0.65164,0.99623,0.98983,0.98318,0.9938,0.69154,1.10343,0.57588,1.00345,0.001274,0.001274,0.001274
13,337.902,1.09651,0.65108,0.98371,0.99489,0.98417,0.99411,0.6892,1.10736,0.53593,0.99442,0.001208,0.001208,0.001208
14,361.82,1.08481,0.60589,0.97239,0.99378,0.98485,0.99334,0.70278,1.05422,0.50161,0.9768,0.001142,0.001142,0.001142
15,385.799,1.05369,0.57372,0.96298,0.99798,0.9697,0.99359,0.71208,1.05547,0.47054,0.97177,0.001076,0.001076,0.001076
16,409.836,1.05301,0.57812,0.96533,1,0.98322,0.99475,0.71027,1.05172,0.48934,0.97716,0.00101,0.00101,0.00101
17,433.893,1.02824,0.54991,0.95639,1,0.9881,0.9947,0.71542,1.0255,0.46854,0.96042,0.000944,0.000944,0.000944
18,460.347,1.03399,0.55116,0.96148,0.99927,0.99495,0.995,0.71637,1.04143,0.46714,0.96973,0.000878,0.000878,0.000878
19,484.794,1.02023,0.53602,0.95682,0.99493,0.99149,0.99495,0.70022,1.06088,0.48365,0.9731,0.000812,0.000812,0.000812
20,508.485,0.99851,0.52751,0.94045,0.99917,0.9798,0.99447,0.73624,1.02988,0.45112,0.96639,0.000746,0.000746,0.000746
21,590.017,0.95615,0.52264,0.96598,0.99969,0.9899,0.99438,0.69761,1.03265,0.46994,0.96059,0.00068,0.00068,0.00068
22,614.008,0.9568,0.50918,0.95142,1,0.98944,0.9948,0.72252,1.02826,0.46318,0.9637,0.000614,0.000614,0.000614
23,644.334,0.93686,0.47981,0.94991,0.99431,0.9899,0.9948,0.7232,0.98797,0.43585,0.94788,0.000548,0.000548,0.000548
24,670.443,0.93687,0.4861,0.94423,0.997,0.99495,0.995,0.71182,1.03441,0.44424,0.96598,0.000482,0.000482,0.000482
25,697.002,0.90387,0.46323,0.93586,1,0.98937,0.9949,0.73212,1.00369,0.42084,0.95125,0.000416,0.000416,0.000416
26,723.543,0.90095,0.45679,0.93789,0.99866,0.99495,0.995,0.73316,0.9834,0.42665,0.94357,0.00035,0.00035,0.00035
27,750.192,0.90365,0.46069,0.94407,0.99795,0.99495,0.995,0.73737,0.98757,0.42866,0.95046,0.000284,0.000284,0.000284
28,776.668,0.89165,0.44071,0.93359,1,0.98375,0.99485,0.7384,0.9642,0.40887,0.93759,0.000218,0.000218,0.000218
29,806.125,0.89153,0.43992,0.94312,0.98992,0.99242,0.99485,0.73537,0.99313,0.40797,0.95014,0.000152,0.000152,0.000152
30,831.305,0.87013,0.42256,0.93316,0.99488,0.99495,0.995,0.73901,0.99773,0.40216,0.95043,8.6e-05,8.6e-05,8.6e-05
