epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.353,4.00997,3.49781,3.47526,0.19723,0.19751,0.1318,0.037,2.99039,2.35294,3.26115,0.000653333,0.000653333,0.000653333
2,159.536,2.55078,2.10026,2.56919,0.31107,0.25276,0.22343,0.07529,2.44623,2.24566,2.28851,0.00118932,0.00118932,0.00118932
3,183.943,2.25502,1.8525,2.23069,0.33966,0.24448,0.21757,0.07032,2.88401,2.36575,2.37923,0.00159331,0.00159331,0.00159331
4,208.808,2.10265,1.66964,2.10196,0.46889,0.56215,0.47815,0.19724,2.08054,1.86807,2.12534,0.001406,0.001406,0.001406
5,234.291,1.97271,1.54204,1.98047,0.54165,0.44061,0.48211,0.19968,2.04742,1.86381,2.02965,0.001208,0.001208,0.001208
6,259.307,1.87035,1.39229,1.90315,0.60289,0.71133,0.67597,0.32329,1.79147,1.76347,1.82637,0.00101,0.00101,0.00101
7,284.612,1.78405,1.28042,1.82171,0.65613,0.77486,0.73303,0.35004,1.73071,1.26955,1.762,0.000812,0.000812,0.000812
8,310.246,1.74242,1.20716,1.80288,0.79042,0.76796,0.81428,0.4303,1.67246,1.12949,1.69927,0.000614,0.000614,0.000614
9,336.356,1.67921,1.15874,1.76949,0.79373,0.79723,0.83093,0.45869,1.56416,1.08799,1.66218,0.000416,0.000416,0.000416
10,361.947,1.63551,1.13627,1.70535,0.81752,0.79834,0.82989,0.46995,1.51608,1.0564,1.60335,0.000218,0.000218,0.000218
