epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.018,2.82489,2.98943,2.30478,0.49213,0.3125,0.29466,0.11689,2.37738,2.0328,2.36302,0.000653333,0.000653333,0.000653333
2,162.399,1.91718,1.62015,1.78479,0.54784,0.55399,0.55908,0.23375,1.86284,1.59286,1.733,0.00118932,0.00118932,0.00118932
3,185.168,1.73322,1.38302,1.64643,0.623,0.72368,0.63673,0.29426,1.78231,1.34253,1.70006,0.00159331,0.00159331,0.00159331
4,207.809,1.64477,1.27572,1.58025,0.63878,0.72039,0.6907,0.36029,1.5518,1.34185,1.54833,0.001406,0.001406,0.001406
5,230.599,1.58173,1.19237,1.50615,0.69508,0.72368,0.695,0.3599,1.59361,1.33195,1.49839,0.001208,0.001208,0.001208
6,253.569,1.50529,1.12723,1.43824,0.79863,0.79934,0.84037,0.48183,1.44848,1.04569,1.40167,0.00101,0.00101,0.00101
7,276.143,1.43535,1.06721,1.40421,0.80136,0.76316,0.82896,0.49664,1.3624,1.0011,1.33364,0.000812,0.000812,0.000812
8,299.926,1.39544,0.98646,1.35717,0.79616,0.84868,0.86796,0.5236,1.36892,0.96118,1.35225,0.000614,0.000614,0.000614
9,323.801,1.3358,0.94124,1.31927,0.80329,0.84629,0.87533,0.55084,1.30104,0.88049,1.28711,0.000416,0.000416,0.000416
10,347.779,1.2869,0.891,1.28504,0.81074,0.88487,0.90136,0.58188,1.26651,0.82243,1.25187,0.000218,0.000218,0.000218
