epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.623,1.98279,4.63112,1.58409,0.6269,0.67785,0.66454,0.34905,1.48221,1.60791,1.3745,0.000653333,0.000653333,0.000653333
2,123.607,1.52253,1.40765,1.26452,0.49413,0.61623,0.47557,0.22491,1.73856,2.91221,1.47597,0.00118932,0.00118932,0.00118932
3,145.598,1.51407,1.2437,1.29555,0.46886,0.57383,0.51576,0.29815,1.43238,2.04962,1.29096,0.00159331,0.00159331,0.00159331
4,168.351,1.43753,1.18344,1.23801,0.61782,0.7349,0.74301,0.4365,1.34743,1.9975,1.23189,0.001406,0.001406,0.001406
5,191.546,1.41384,1.10714,1.21776,0.82548,0.82538,0.88052,0.54289,1.27125,1.01623,1.15365,0.001208,0.001208,0.001208
6,214.708,1.34483,1.01896,1.17436,0.80952,0.85906,0.87576,0.56218,1.23298,0.93393,1.13471,0.00101,0.00101,0.00101
7,238.16,1.26484,0.96125,1.15467,0.85965,0.89262,0.92539,0.61383,1.17351,0.85671,1.12092,0.000812,0.000812,0.000812
8,262.217,1.21138,0.89866,1.1129,0.88054,0.84228,0.92655,0.60333,1.18814,0.83234,1.11089,0.000614,0.000614,0.000614
9,288.226,1.18687,0.82522,1.10415,0.92381,0.85449,0.94664,0.64304,1.10623,0.72943,1.05534,0.000416,0.000416,0.000416
10,313.635,1.13974,0.7878,1.06546,0.91886,0.88591,0.95872,0.6617,1.06375,0.69164,1.03605,0.000218,0.000218,0.000218
